"location","M","D","I-PGA","I-Sas","I-Tc","II-PGA","II-Sas","II-Tc","III-PGA","III-Sas","III-Tc","IV-PGA","IV-Sas","IV-Tc","V-PGA","V-Sas","V-Tc","VI-PGA","VI-Sas","VI-Tc"
"Kaitaia",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Kerikeri",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Haruru",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Paihia",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Opua",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Kawakawa",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Moerewa",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Kaikohe",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Hikurangi",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Ngunguru",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Whangarei",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"One Tree Point",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Ruakaka",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Dargaville",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Waipu",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Mangawhai Heads",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Wellsford",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Warkworth",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Snells Beach",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Hibiscus Coast",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Parakai",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Helensville",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Coromandel",6.4,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Riverhead",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Kumeu-Huapai",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Waimauku",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Waiheke West",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Whitianga",6.5,"n/a",0.02,0.03,0.4,0.02,0.04,0.5,0.02,0.05,0.5,0.03,0.06,0.6,0.03,0.07,0.6,0.03,0.09,0.6
