"location","M","D","I-PGA","I-Sas","I-Tc","II-PGA","II-Sas","II-Tc","III-PGA","III-Sas","III-Tc","IV-PGA","IV-Sas","IV-Tc","V-PGA","V-Sas","V-Tc","VI-PGA","VI-Sas","VI-Tc"
"Kaitaia",6.2,"n/a",0.05,0.1,0.4,0.06,0.12,0.5,0.07,0.14,0.5,0.08,0.18,0.6,0.08,0.2,0.6,0.09,0.23,0.7
"Kerikeri",6.2,"n/a",0.05,0.1,0.4,0.06,0.12,0.5,0.07,0.14,0.5,0.08,0.18,0.6,0.08,0.2,0.6,0.09,0.23,0.7
"Haruru",6.2,"n/a",0.05,0.1,0.4,0.06,0.12,0.5,0.07,0.14,0.5,0.08,0.18,0.6,0.08,0.2,0.6,0.09,0.23,0.7
"Paihia",6.2,"n/a",0.05,0.1,0.4,0.06,0.12,0.5,0.07,0.14,0.5,0.08,0.18,0.6,0.08,0.2,0.6,0.09,0.23,0.7
"Opua",6.2,"n/a",0.05,0.1,0.4,0.06,0.12,0.5,0.07,0.14,0.5,0.08,0.18,0.6,0.08,0.2,0.6,0.09,0.23,0.7
"Kawakawa",6.2,"n/a",0.05,0.1,0.4,0.06,0.12,0.5,0.07,0.14,0.5,0.08,0.18,0.6,0.08,0.2,0.6,0.09,0.23,0.7
"Moerewa",6.2,"n/a",0.05,0.1,0.4,0.06,0.12,0.5,0.07,0.14,0.5,0.08,0.18,0.6,0.08,0.2,0.6,0.09,0.23,0.7
"Kaikohe",6.2,"n/a",0.05,0.1,0.4,0.06,0.12,0.5,0.07,0.14,0.5,0.08,0.18,0.6,0.08,0.2,0.6,0.09,0.23,0.7
"Hikurangi",6.2,"n/a",0.05,0.1,0.4,0.06,0.12,0.5,0.07,0.14,0.5,0.08,0.18,0.6,0.08,0.2,0.6,0.09,0.23,0.7
"Ngunguru",6.2,"n/a",0.05,0.1,0.4,0.06,0.12,0.5,0.07,0.14,0.5,0.08,0.18,0.6,0.08,0.2,0.6,0.09,0.23,0.7
"Whangarei",6.2,"n/a",0.05,0.1,0.4,0.06,0.12,0.5,0.07,0.14,0.5,0.08,0.18,0.6,0.08,0.2,0.6,0.09,0.23,0.7
"One Tree Point",6.2,"n/a",0.05,0.1,0.4,0.06,0.12,0.5,0.07,0.14,0.5,0.08,0.18,0.6,0.08,0.2,0.6,0.09,0.23,0.7
"Ruakaka",6.2,"n/a",0.05,0.1,0.4,0.06,0.12,0.5,0.07,0.14,0.5,0.08,0.18,0.6,0.08,0.2,0.6,0.09,0.23,0.7
"Dargaville",6.2,"n/a",0.05,0.1,0.4,0.06,0.12,0.5,0.07,0.14,0.5,0.08,0.18,0.6,0.08,0.2,0.6,0.09,0.23,0.7
"Waipu",6.2,"n/a",0.05,0.1,0.4,0.06,0.12,0.5,0.07,0.14,0.5,0.08,0.18,0.6,0.08,0.2,0.6,0.09,0.23,0.7
"Mangawhai Heads",6.2,"n/a",0.05,0.1,0.4,0.06,0.12,0.5,0.07,0.14,0.5,0.08,0.18,0.6,0.08,0.2,0.6,0.09,0.23,0.7
"Wellsford",6.2,"n/a",0.05,0.1,0.4,0.06,0.12,0.5,0.07,0.14,0.5,0.08,0.18,0.6,0.08,0.2,0.6,0.09,0.23,0.7
